Feature,J48
22460,0
670,0
time,0.000463231036479444
file_extension,0.00055008685581934
url_TLD,0.000955414012738854
url_has_subdomains,0.00118702953097858
server_or_cache_address,0.00136074116965837
squid_hierarchy,0.00240301100173712
http_method,0.00338737695425594
filename_length,0.00347423277359583
duration_milliseconds,0.00370584829183555
content_type,0.00454545454545455
subdomain1,0.00492182976259409
folder2,0.00538506079907354
letters_in_filename,0.00642733063115229
http_reply_code,0.00932252460914881
other_char_in_filename,0.00987261146496815
url_has_file_extension,0.0106832657788072
content_type_MCT,0.0114360162130863
path_has_parameters,0.0125651418645049
folder1,0.0138100752750434
digits_in_filename,0.0138390272148234
client_address,0.0212796757382745
subdomain2,0.0339606253618992
URL_length,0.0370584829183555
bytes,0.0384481760277939
num_parameters,0.0402721482339317
nonalphanumeric_chars_in_URL,0.0453676896352056
digits_in_URL,0.0597568037058483
num_subdomains,0.113925883034163
letters_in_URL,0.139200926462073
url_core,0.984250144759695
